path,gw,apn,pool_name,vpn_instance,section,start_ip,end_ip
Alex,ODG21,etisalat.roaming,alex_etisalat.roaming,Gi_MI_IPv4,0,10.29.0.0,10.29.127.255
Alex,ODG21,etisalat,alex_etisalat_2,Gi_MI_IPv4,0,10.217.1.0,10.217.127.255
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,0,2C0F:FC88:4:B2::,2C0F:FC88:4:B2:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat.roaming,alex_etisalat_ipv6.roaming,Gi_MI_IPv6,0,2C0F:FC88:8A::,2C0F:FC88:8A:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,fwa.etisalat,alex_internet.etisalat,Gi_USB_IPv4,0,10.101.0.0,10.101.127.255
Alex,ODG21,internet.etisalat,alex_internet.etisalat,Gi_USB_IPv4,0,10.101.0.0,10.101.127.255
Alex,ODG21,internet.etisalat.cc2,alex_internet.etisalat,Gi_USB_IPv4,0,10.101.0.0,10.101.127.255
Alex,ODG21,etisalat.roaming.vip,etisalat.roaming.vip,Gi_MI_IPv4,0,10.37.255.128,10.37.255.129
Alex,ODG21,etisalat.roaming,alex_etisalat.roaming,Gi_MI_IPv4,1,10.29.128.0,10.29.255.255
Alex,ODG21,etisalat,alex_etisalat_2,Gi_MI_IPv4,1,10.217.128.0,10.217.255.255
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,1,2C0F:FC88:42::,2C0F:FC88:42:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat.roaming,alex_etisalat_ipv6.roaming,Gi_MI_IPv6,1,2C0F:FC88:8A:8000::,2C0F:FC88:8A:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,fwa.etisalat,alex_internet.etisalat_ipv6,Gi_USB_IPv6,1,2C0F:FC88:95::,2C0F:FC88:95:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,internet.etisalat,alex_internet.etisalat_ipv6,Gi_USB_IPv6,1,2C0F:FC88:95::,2C0F:FC88:95:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,internet.etisalat.cc2,alex_internet.etisalat_ipv6,Gi_USB_IPv6,1,2C0F:FC88:95::,2C0F:FC88:95:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat.roaming.vip,etisalat.roaming.vip,Gi_MI_IPv4,1,10.37.255.130,10.37.255.131
Alex,ODG21,etisalat.roaming,alex_etisalat.roaming,Gi_MI_IPv4,2,10.91.0.0,10.91.127.255
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,2,2C0F:FC88:43::,2C0F:FC88:43:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat.roaming,alex_etisalat_ipv6.roaming,Gi_MI_IPv6,2,2C0F:FC88:250::,2C0F:FC88:250:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat.roaming.vip,etisalat.roaming.vip,Gi_MI_IPv4,2,10.37.255.132,10.37.255.135
Alex,ODG21,etisalat.roaming,alex_etisalat.roaming,Gi_MI_IPv4,3,10.91.128.0,10.91.255.255
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,3,2C0F:FC88:44::,2C0F:FC88:44:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat.roaming,alex_etisalat_ipv6.roaming,Gi_MI_IPv6,3,2C0F:FC88:251::,2C0F:FC88:251:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat.roaming.vip,etisalat.roaming.vip,Gi_MI_IPv4,3,10.37.255.136,10.37.255.143
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,4,2C0F:FC88:45::,2C0F:FC88:45:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat.roaming,alex_etisalat_ipv6.roaming,Gi_MI_IPv6,4,2C0F:FC88:252::,2C0F:FC88:252:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat.roaming.vip,etisalat.roaming.vip,Gi_MI_IPv4,4,10.37.255.144,10.37.255.159
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,5,2C0F:FC88:46::,2C0F:FC88:46:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat.roaming.vip,etisalat.roaming.vip,Gi_MI_IPv4,5,10.37.255.160,10.37.255.191
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,6,2C0F:FC88:40::,2C0F:FC88:40:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat.roaming.vip,etisalat.roaming.vip,Gi_MI_IPv4,6,10.37.255.192,10.37.255.255
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,7,2C0F:FC88:47::,2C0F:FC88:47:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,8,2C0F:FC88:48::,2C0F:FC88:48:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,9,2C0F:FC88:49::,2C0F:FC88:49:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,10,2C0F:FC88:9::,2C0F:FC88:9:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,11,2C0F:FC88:A::,2C0F:FC88:A:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,12,2C0F:FC88:B::,2C0F:FC88:B:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,13,2C0F:FC88:C::,2C0F:FC88:C:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,14,2C0F:FC88:D::,2C0F:FC88:D:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,15,2C0F:FC88:83::,2C0F:FC88:83:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,16,2C0F:FC88:83:8000::,2C0F:FC88:83:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,17,2C0F:FC88:84::,2C0F:FC88:84:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,18,2C0F:FC88:84:8000::,2C0F:FC88:84:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,19,2C0F:FC88:85::,2C0F:FC88:85:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,20,2C0F:FC88:85:8000::,2C0F:FC88:85:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,21,2C0F:FC88:86::,2C0F:FC88:86:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,22,2C0F:FC88:86:8000::,2C0F:FC88:86:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat,Gi_MI_IPv4,23,10.37.128.0,10.37.191.255
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,23,2C0F:FC88:87::,2C0F:FC88:87:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat,Gi_MI_IPv4,24,10.37.192.0,10.37.223.255
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,24,2C0F:FC88:87:8000::,2C0F:FC88:87:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat,Gi_MI_IPv4,25,10.37.224.0,10.37.239.255
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,25,2C0F:FC88:88::,2C0F:FC88:88:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat,Gi_MI_IPv4,26,10.37.240.0,10.37.247.255
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,26,2C0F:FC88:88:8000::,2C0F:FC88:88:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat,Gi_MI_IPv4,27,10.37.248.0,10.37.251.255
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,27,2C0F:FC88:89::,2C0F:FC88:89:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat,Gi_MI_IPv4,28,10.37.252.0,10.37.253.255
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,28,2C0F:FC88:89:8000::,2C0F:FC88:89:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat,Gi_MI_IPv4,29,10.37.254.0,10.37.254.255
Alex,ODG21,etisalat,alex_etisalat,Gi_MI_IPv4,30,10.37.255.0,10.37.255.127
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,31,2C0F:FC88:9:8000::,2C0F:FC88:9:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,32,2C0F:FC88:A:8000::,2C0F:FC88:A:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,33,2C0F:FC88:B:8000::,2C0F:FC88:B:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,34,2C0F:FC88:C:8000::,2C0F:FC88:C:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,35,2C0F:FC88:D:8000::,2C0F:FC88:D:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,36,2C0F:FC88:175::,2C0F:FC88:175:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,37,2C0F:FC88:176::,2C0F:FC88:176:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,38,2C0F:FC88:177::,2C0F:FC88:177:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,39,2C0F:FC88:178::,2C0F:FC88:178:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat_ipv6,Gi_MI_IPv6,40,2C0F:FC88:179::,2C0F:FC88:179:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,ODG21,etisalat,alex_etisalat,Gi_MI_IPv4,63,10.100.97.0,10.100.127.255
Ramsis,R1DG28,etisalat,new_r1_to_rp_etisalat,Gi_MI_IPv4,0,10.33.0.0,10.33.127.255
Ramsis,R1DG28,etisalat,new_r1_to_rp_etisalat_3,Gi_MI_IPv4,0,10.3.0.0,10.3.127.255
Ramsis,R1DG28,etisalat,new_r1_to_rp_etisalat_ipv6,Gi_MI_IPv6,0,2C0F:FC89:4B::,2C0F:FC89:4B:7FFF:FFFF:FFFF:FFFF:FFFF
Ramsis,R1DG28,internet.etisalat,new_r1_to_rp_internet.etisalat,Gi_USB_IPv4,0,10.89.12.32,10.89.12.39
Ramsis,R1DG28,internet.etisalat,new_r1_to_rp_internet_ipv6,Gi_USB_IPv6,0,2C0F:FC89:66::,2C0F:FC89:66:7FFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat,new_rp_etisalat_ipv6,Gi_MI_IPv6,0,2C0F:FC89:5A0::,2C0F:FC89:5A0:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat.roaming,new_rp_etisalat_ipv6,Gi_MI_IPv6,0,2C0F:FC89:5A0::,2C0F:FC89:5A0:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,fwa.etisalat,new_rp_internet.etisalat,Gi_USB_IPv4,0,10.102.192.0,10.102.223.255
Ramsis,PDG25,internet.etisalat,new_rp_internet.etisalat,Gi_USB_IPv4,0,10.102.192.0,10.102.223.255
Ramsis,PDG25,internet.etisalat.cc2,new_rp_internet.etisalat,Gi_USB_IPv4,0,10.102.192.0,10.102.223.255
Ramsis,PDG25,fwa.etisalat,new_rp_internet.etisalat_ipv6,Gi_USB_IPv6,0,2C0F:FC89:5F::,2C0F:FC89:5F:7FFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,internet.etisalat,new_rp_internet.etisalat_ipv6,Gi_USB_IPv6,0,2C0F:FC89:5F::,2C0F:FC89:5F:7FFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,internet.etisalat.cc2,new_rp_internet.etisalat_ipv6,Gi_USB_IPv6,0,2C0F:FC89:5F::,2C0F:FC89:5F:7FFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat,pdg25_etisalat_ipv6,Gi_MI_IPv6,0,2C0F:FC89:121::,2C0F:FC89:121:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat.roaming,pdg25_etisalat_ipv6,Gi_MI_IPv6,0,2C0F:FC89:121::,2C0F:FC89:121:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,R1DG18,etisalat,r1dg18_etisalat,Gi_MI_IPv4,0,10.149.192.0,10.149.255.255
TeleMisr,R1DG18,etisalat,r1dg18_etisalat_1,Gi_MI_IPv4,0,10.155.0.0,10.155.63.255
TeleMisr,R1DG18,etisalat,r1dg18_etisalat_ipv6,Gi_MI_IPv6,0,2C0F:FC89:F9::,2C0F:FC89:F9:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,R1DG28,etisalat.roaming,r1dg28_etisalat.roaming_ipv6,Gi_MI_IPv6,0,2C0F:FC89:E4::,2C0F:FC89:E4:7FFF:FFFF:FFFF:FFFF:FFFF
Ramsis,R1DG28,etisalat,r1dg28_etisalat_ipv6,Gi_MI_IPv6,0,2C0F:FC89:58::,2C0F:FC89:58:7FFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,R1DG18,etisalat,tm_etisalat_ipv6,Gi_MI_IPv6,0,2C0F:FC89:8121::,2C0F:FC89:8121:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG29,etisalat,ydg29_etisalat,Gi_MI_IPv4,0,10.192.0.0,10.192.7.255
TeleMisr,YDG29,internet.etisalat,ydg29_internet.etisalat,Gi_USB_IPv4,0,10.69.64.0,10.69.95.255
TeleMisr,YDG30,etisalat,ydg30_etisalat,Gi_MI_IPv4,0,100.72.0.0,100.72.127.255
TeleMisr,YDG30,etisalat,ydg30_etisalat_ipv6,Gi_MI_IPv6,0,2C0F:FC89:8083::,2C0F:FC89:8083:7FFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG30,fwa.etisalat,ydg30_internet.etisalat,Gi_USB_IPv4,0,10.148.64.0,10.148.127.255
TeleMisr,YDG30,internet.etisalat,ydg30_internet.etisalat,Gi_USB_IPv4,0,10.148.64.0,10.148.127.255
TeleMisr,YDG30,internet.etisalat.cc2,ydg30_internet.etisalat,Gi_USB_IPv4,0,10.148.64.0,10.148.127.255
TeleMisr,YDG30,fwa.etisalat,ydg30_internet_ipv6,Gi_USB_IPv6,0,2C0F:FC89:8032:8000::,2C0F:FC89:8032:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG30,internet.etisalat,ydg30_internet_ipv6,Gi_USB_IPv6,0,2C0F:FC89:8032:8000::,2C0F:FC89:8032:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG30,internet.etisalat.cc2,ydg30_internet_ipv6,Gi_USB_IPv6,0,2C0F:FC89:8032:8000::,2C0F:FC89:8032:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,R1DG28,etisalat,new_r1_to_rp_etisalat,Gi_MI_IPv4,1,10.33.128.0,10.33.255.255
Ramsis,R1DG28,etisalat,new_r1_to_rp_etisalat_3,Gi_MI_IPv4,1,100.65.128.0,100.65.191.255
Ramsis,R1DG28,etisalat,new_r1_to_rp_etisalat_ipv6,Gi_MI_IPv6,1,2C0F:FC89:4B:8000::,2C0F:FC89:4B:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat,new_rp_etisalat_ipv6,Gi_MI_IPv6,1,2C0F:FC89:5A1::,2C0F:FC89:5A1:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat.roaming,new_rp_etisalat_ipv6,Gi_MI_IPv6,1,2C0F:FC89:5A1::,2C0F:FC89:5A1:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,fwa.etisalat,new_rp_internet.etisalat,Gi_USB_IPv4,1,100.119.128.0,100.119.255.255
Ramsis,PDG25,internet.etisalat,new_rp_internet.etisalat,Gi_USB_IPv4,1,100.119.128.0,100.119.255.255
Ramsis,PDG25,internet.etisalat.cc2,new_rp_internet.etisalat,Gi_USB_IPv4,1,100.119.128.0,100.119.255.255
Ramsis,PDG25,fwa.etisalat,new_rp_internet.etisalat_ipv6,Gi_USB_IPv6,1,2C0F:FC89:5F:8000::,2C0F:FC89:5F:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,internet.etisalat,new_rp_internet.etisalat_ipv6,Gi_USB_IPv6,1,2C0F:FC89:5F:8000::,2C0F:FC89:5F:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,internet.etisalat.cc2,new_rp_internet.etisalat_ipv6,Gi_USB_IPv6,1,2C0F:FC89:5F:8000::,2C0F:FC89:5F:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat,pdg25_etisalat_ipv6,Gi_MI_IPv6,1,2C0F:FC89:122::,2C0F:FC89:122:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat.roaming,pdg25_etisalat_ipv6,Gi_MI_IPv6,1,2C0F:FC89:122::,2C0F:FC89:122:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,R1DG18,etisalat,r1dg18_etisalat,Gi_MI_IPv4,1,10.150.0.0,10.150.63.255
TeleMisr,R1DG18,etisalat,r1dg18_etisalat_1,Gi_MI_IPv4,1,10.155.64.0,10.155.127.255
TeleMisr,R1DG18,etisalat,r1dg18_etisalat_ipv6,Gi_MI_IPv6,1,2C0F:FC89:8074::,2C0F:FC89:8074:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,R1DG28,etisalat.roaming,r1dg28_etisalat.roaming_ipv6,Gi_MI_IPv6,1,2C0F:FC89:E4:8000::,2C0F:FC89:E4:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,R1DG28,etisalat,r1dg28_etisalat_ipv6,Gi_MI_IPv6,1,2C0F:FC89:58:8000::,2C0F:FC89:58:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,R1DG18,etisalat,tm_etisalat_ipv6,Gi_MI_IPv6,1,2C0F:FC89:8122::,2C0F:FC89:8122:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG29,etisalat,ydg29_etisalat,Gi_MI_IPv4,1,10.192.64.0,10.192.127.255
TeleMisr,YDG29,etisalat,ydg29_etisalat_ipv6,Gi_MI_IPv6,1,2C0F:FC89:809F:8000::,2C0F:FC89:809F:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG30,etisalat,ydg30_etisalat,Gi_MI_IPv4,1,100.72.128.0,100.72.255.255
TeleMisr,YDG30,etisalat,ydg30_etisalat_ipv6,Gi_MI_IPv6,1,2C0F:FC89:8083:8000::,2C0F:FC89:8083:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG30,fwa.etisalat,ydg30_internet.etisalat,Gi_USB_IPv4,1,10.135.192.0,10.135.223.255
TeleMisr,YDG30,internet.etisalat,ydg30_internet.etisalat,Gi_USB_IPv4,1,10.135.192.0,10.135.223.255
TeleMisr,YDG30,internet.etisalat.cc2,ydg30_internet.etisalat,Gi_USB_IPv4,1,10.135.192.0,10.135.223.255
TeleMisr,YDG30,fwa.etisalat,ydg30_internet_ipv6,Gi_USB_IPv6,1,2C0F:FC89:8039:C000::,2C0F:FC89:8039:DFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG30,internet.etisalat,ydg30_internet_ipv6,Gi_USB_IPv6,1,2C0F:FC89:8039:C000::,2C0F:FC89:8039:DFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG30,internet.etisalat.cc2,ydg30_internet_ipv6,Gi_USB_IPv6,1,2C0F:FC89:8039:C000::,2C0F:FC89:8039:DFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,R1DG28,etisalat,new_r1_to_rp_etisalat,Gi_MI_IPv4,2,10.169.128.0,10.169.191.255
Ramsis,R1DG28,etisalat,new_r1_to_rp_etisalat_3,Gi_MI_IPv4,2,10.5.0.0,10.5.127.255
Ramsis,R1DG28,etisalat,new_r1_to_rp_etisalat_ipv6,Gi_MI_IPv6,2,2C0F:FC89:4D::,2C0F:FC89:4D:7FFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat,new_rp_etisalat_ipv6,Gi_MI_IPv6,2,2C0F:FC89:5A2::,2C0F:FC89:5A2:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat.roaming,new_rp_etisalat_ipv6,Gi_MI_IPv6,2,2C0F:FC89:5A2::,2C0F:FC89:5A2:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,fwa.etisalat,new_rp_internet.etisalat,Gi_USB_IPv4,2,100.120.64.0,100.120.127.255
Ramsis,PDG25,internet.etisalat,new_rp_internet.etisalat,Gi_USB_IPv4,2,100.120.64.0,100.120.127.255
Ramsis,PDG25,internet.etisalat.cc2,new_rp_internet.etisalat,Gi_USB_IPv4,2,100.120.64.0,100.120.127.255
Ramsis,PDG25,fwa.etisalat,new_rp_internet.etisalat_ipv6,Gi_USB_IPv6,2,2C0F:FC89:39C::,2C0F:FC89:39C:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,internet.etisalat,new_rp_internet.etisalat_ipv6,Gi_USB_IPv6,2,2C0F:FC89:39C::,2C0F:FC89:39C:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,internet.etisalat.cc2,new_rp_internet.etisalat_ipv6,Gi_USB_IPv6,2,2C0F:FC89:39C::,2C0F:FC89:39C:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat,pdg25_etisalat_ipv6,Gi_MI_IPv6,2,2C0F:FC89:123::,2C0F:FC89:123:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat.roaming,pdg25_etisalat_ipv6,Gi_MI_IPv6,2,2C0F:FC89:123::,2C0F:FC89:123:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,R1DG18,etisalat,r1dg18_etisalat,Gi_MI_IPv4,2,10.150.64.0,10.150.127.255
TeleMisr,R1DG18,etisalat,r1dg18_etisalat_1,Gi_MI_IPv4,2,10.58.0.0,10.58.127.255
TeleMisr,R1DG18,etisalat,r1dg18_etisalat_ipv6,Gi_MI_IPv6,2,2C0F:FC89:8075::,2C0F:FC89:8075:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,R1DG28,etisalat,r1dg28_etisalat_ipv6,Gi_MI_IPv6,2,2C0F:FC89:38::,2C0F:FC89:38:7FFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,R1DG18,etisalat,tm_etisalat_ipv6,Gi_MI_IPv6,2,2C0F:FC89:8123::,2C0F:FC89:8123:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG29,etisalat,ydg29_etisalat,Gi_MI_IPv4,2,10.192.128.0,10.192.191.255
TeleMisr,YDG29,etisalat,ydg29_etisalat_ipv6,Gi_MI_IPv6,2,2C0F:FC89:809F::,2C0F:FC89:809F:7FFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG30,etisalat,ydg30_etisalat,Gi_MI_IPv4,2,100.73.0.0,100.73.127.255
TeleMisr,YDG30,etisalat,ydg30_etisalat_ipv6,Gi_MI_IPv6,2,2C0F:FC89:806F:8000::,2C0F:FC89:806F:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG30,fwa.etisalat,ydg30_internet.etisalat,Gi_USB_IPv4,2,10.145.128.0,10.145.255.255
TeleMisr,YDG30,internet.etisalat,ydg30_internet.etisalat,Gi_USB_IPv4,2,10.145.128.0,10.145.255.255
TeleMisr,YDG30,internet.etisalat.cc2,ydg30_internet.etisalat,Gi_USB_IPv4,2,10.145.128.0,10.145.255.255
TeleMisr,YDG30,fwa.etisalat,ydg30_internet_ipv6,Gi_USB_IPv6,2,2C0F:FC89:802D:C000::,2C0F:FC89:802D:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG30,internet.etisalat,ydg30_internet_ipv6,Gi_USB_IPv6,2,2C0F:FC89:802D:C000::,2C0F:FC89:802D:FFFF:FFFF:FFFF:FFFF:FFFF
TeleMisr,YDG30,internet.etisalat.cc2,ydg30_internet_ipv6,Gi_USB_IPv6,2,2C0F:FC89:802D:C000::,2C0F:FC89:802D:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,R1DG28,etisalat,new_r1_to_rp_etisalat,Gi_MI_IPv4,3,10.97.0.0,10.97.127.255
Ramsis,R1DG28,etisalat,new_r1_to_rp_etisalat_3,Gi_MI_IPv4,3,10.5.128.0,10.5.255.255
Ramsis,R1DG28,etisalat,new_r1_to_rp_etisalat_ipv6,Gi_MI_IPv6,3,2C0F:FC89:52::,2C0F:FC89:52:7FFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat,new_rp_etisalat_ipv6,Gi_MI_IPv6,3,2C0F:FC89:5A3::,2C0F:FC89:5A3:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat.roaming,new_rp_etisalat_ipv6,Gi_MI_IPv6,3,2C0F:FC89:5A3::,2C0F:FC89:5A3:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,fwa.etisalat,new_rp_internet.etisalat_ipv6,Gi_USB_IPv6,3,2C0F:FC89:39D::,2C0F:FC89:39D:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,internet.etisalat,new_rp_internet.etisalat_ipv6,Gi_USB_IPv6,3,2C0F:FC89:39D::,2C0F:FC89:39D:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,internet.etisalat.cc2,new_rp_internet.etisalat_ipv6,Gi_USB_IPv6,3,2C0F:FC89:39D::,2C0F:FC89:39D:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,PDG25,etisalat,pdg25_etisalat_ipv6,Gi_MI_IPv6,3,2C0F:FC89:124::,2C0F:FC89:124:FFFF:FFFF:FFFF:FFFF:FFFF
